Student_ID,Score
N00000046,84
N00000047,64
N00000048,88
N00000049,80
N00000050,64
N00000051,76
N00000052,84
N00000053,84
N00000054,64
N00000055,76
N00000056,64
N00000057,84
N00000058,80
N00000059,76
N00000060,76
N00000061,76
N00000062,80
N00000063,88
N00000064,72
N00000065,80
N00000066,88
N00000067,76
N00000068,68
N00000069,88
N00000070,88
N00000071,76
N00000072,80
N00000073,84
N00000074,80
N00000075,88
N00000076,88
N00000077,72
N00000078,84
N00000079,76
N00000080,84
N00000081,68
N00000082,92
N00000083,88
N00000084,88
N00000085,76
N00000086,84
N00000087,84
N00000088,80
N00000089,88
N00000090,68
N00000091,68
N00000092,84
N00000093,76
N00000094,76
N00000095,96
N00000096,80
N00000097,88
N00000098,72
N00000099,88
N00000100,80
N00000101,84
N00000102,72
N00000103,80
N00000104,84
N00000105,88
N00000106,88
N00000107,68
N00000108,84
N00000109,60
N00000110,80
N00000111,68
N00000112,76
N00000113,72
N00000114,80
N00000115,64
N00000116,84
N00000117,80
N00000118,84
N00000119,88
N00000120,84
N00000121,68
N00000122,76
N00000123,76
N00000124,88
N00000125,64
N00000126,88
N00000127,80
N00000128,68
N00000129,80
N00000130,80
N00000131,72
N00000132,96
N00000133,68
N00000134,84
N00000135,72
N00000136,72
N00000137,84
N00000138,84
N00000139,76
N00000140,76
N00000141,76
N00000142,88
N00000143,80
N00000144,80
N00000145,84
