Student_ID,Score
N00000641,92
N00000642,64
N00000643,80
N00000644,84
N00000645,68
N00000646,88
N00000647,80
N00000648,80
N00000649,88
N00000650,92
N00000651,84
N00000652,72
N00000653,68
N00000654,84
N00000655,72
N00000656,84
N00000657,72
N00000658,80
N00000659,72
N00000660,76
N00000661,60
N00000662,80
N00000663,84
N00000664,68
N00000665,92
N00000666,84
N00000667,80
N00000668,72
N00000669,88
N00000670,72
N00000671,80
N00000672,76
N00000673,100
N00000674,84
N00000675,84
N00000676,76
N00000677,84
N00000678,80
N00000679,80
N00000680,92
N00000681,88
N00000682,76
N00000683,84
N00000684,84
N00000685,80
N00000686,84
N00000687,84
N00000688,88
N00000689,84
N00000690,88
N00000691,64
N00000692,80
N00000693,80
N00000694,76
N00000695,84
N00000696,88
N00000697,72
N00000698,72
N00000699,80
N00000700,84
N00000701,72
N00000702,80
N00000703,76
N00000704,84
N00000705,92
N00000706,60
N00000707,88
N00000708,92
N00000709,76
N00000710,88
N00000711,88
N00000712,68
N00000713,76
N00000714,88
N00000715,76
N00000716,76
N00000717,84
N00000718,84
N00000719,68
N00000720,80
N00000721,80
N00000722,80
N00000723,92
N00000724,76
N00000725,80
N00000726,80
N00000727,88
N00000728,80
N00000729,96
N00000730,64
N00000731,88
N00000732,76
N00000733,72
N00000734,64
N00000735,68
N00000736,76
N00000737,84
N00000738,80
N00000739,72
N00000740,88
N00000741,76
N00000742,68
N00000743,80
N00000744,72
N00000745,92
N00000746,84
N00000747,76
N00000748,72
N00000749,88
N00000750,72
N00000751,76
N00000752,80
N00000753,48
N00000754,80
N00000755,72
N00000756,76
N00000757,80
N00000758,68
N00000759,84
N00000760,64
N00000761,76
N00000762,88
N00000763,76
N00000764,84
N00000765,92
N00000766,64
N00000767,72
N00000768,76
N00000769,80
N00000770,72
N00000771,88
N00000772,84
N00000773,72
N00000774,84
N00000775,76
N00000776,92
N00000777,84
N00000778,88
N00000779,60
N00000780,72
N00000781,88
N00000782,68
N00000783,76
N00000784,72
N00000785,80
N00000786,88
N00000787,76
N00000788,76
N00000789,84
N00000790,76
N00000791,72
N00000792,76
N00000793,72
N00000794,76
N00000795,84
N00000796,64
N00000797,80
N00000798,68
N00000799,80
N00000800,68
N00000801,84
N00000802,84
N00000803,72
N00000804,84
N00000805,72
N00000806,88
N00000807,80
N00000808,84
N00000809,92
N00000810,84
N00000811,80
N00000812,80
N00000813,84
N00000814,68
N00000815,72
N00000816,76
N00000817,84
N00000818,84
N00000819,84
N00000820,84
N00000821,80
N00000822,80
N00000823,68
N00000824,76
N00000825,76
N00000826,76
N00000827,84
N00000828,80
N00000829,76
N00000830,68
N00000831,76
N00000832,72
N00000833,76
N00000834,76
N00000835,88
N00000836,88
N00000837,76
N00000838,84
N00000839,76
N00000840,88
N00000841,80
N00000842,72
N00000843,72
N00000844,84
N00000845,72
N00000846,72
N00000847,92
N00000848,80
N00000849,76
N00000850,80
N00000851,84
N00000852,84
N00000853,80
N00000854,84
N00000855,80
N00000856,84
N00000857,88
N00000858,76
N00000859,72
N00000860,96
N00000861,76
N00000862,72
N00000863,68
N00000864,76
N00000865,76
N00000866,84
N00000867,76
N00000868,88
N00000869,72
N00000870,80
N00000871,60
N00000872,76
N00000873,84
N00000874,64
N00000875,80
N00000876,68
N00000877,92
N00000878,88
N00000879,76
N00000880,80
N00000881,80
N00000882,80
N00000883,88
N00000884,84
N00000885,80
N00000886,64
N00000887,84
N00000888,80
N00000889,72
N00000890,80
N00000891,72
N00000892,84
N00000893,84
N00000894,96
N00000895,92
N00000896,84
N00000897,84
N00000898,76
N00000899,80
N00000900,80
N00000901,80
N00000902,72
N00000903,84
N00000904,60
N00000905,84
N00000906,76
N00000907,88
N00000908,84
N00000909,76
N00000910,80
N00000911,84
N00000912,92
N00000913,84
N00000914,72
N00000915,80
N00000916,88
N00000917,64
N00000918,80
N00000919,76
N00000920,72
N00000921,92
N00000922,80
N00000923,80
N00000924,80
N00000925,72
N00000926,80
N00000927,72
N00000928,92
N00000929,84
N00000930,80
N00000931,84
N00000932,88
N00000933,72
N00000934,80
N00000935,88
N00000936,72
N00000937,88
N00000938,92
N00000939,76
N00000940,76
N00000941,72
N00000942,56
N00000943,88
N00000944,76
N00000945,76
N00000946,72
N00000947,64
N00000948,92
N00000949,84
N00000950,68
N00000951,64
N00000952,76
N00000953,56
N00000954,80
N00000955,72
N00000956,84
N00000957,64
N00000958,60
N00000959,80
N00000960,68
N00000961,76
N00000962,56
N00000963,76
N00000964,72
N00000965,64
N00000966,72
N00000967,88
N00000968,72
N00000969,68
N00000970,76
N00000971,72
N00000972,88
N00000973,88
N00000974,72
N00000975,88
N00000976,88
N00000977,80
N00000978,76
N00000979,84
N00000980,80
N00000981,84
N00000982,76
N00000983,72
N00000984,88
N00000985,80
N00000986,72
N00000987,80
N00000988,80
N00000989,68
N00000990,84
N00000991,88
N00000992,84
N00000993,84
N00000994,88
N00000995,84
N00000996,68
N00000997,96
N00000998,92
N00000999,92
N00001000,64
N00001001,76
N00001002,60
N00001003,88
N00001004,76
N00001005,76
N00001006,76
N00001007,76
N00001008,76
N00001009,68
N00001010,80
N00001011,80
N00001012,68
N00001013,84
N00001014,84
N00001015,88
N00001016,80
N00001017,64
N00001018,84
N00001019,88
N00001020,84
N00001021,60
N00001022,88
N00001023,92
N00001024,76
N00001025,80
N00001026,80
N00001027,64
N00001028,68
N00001029,80
N00001030,56
N00001031,60
N00001032,84
N00001033,68
N00001034,76
N00001035,80
N00001036,68
N00001037,80
N00001038,80
N00001039,92
N00001040,64
N00001041,80
N00001042,92
N00001043,84
N00001044,68
N00001045,84
N00001046,68
N00001047,76
N00001048,80
N00001049,60
N00001050,88
N00001051,76
N00001052,76
N00001053,72
N00001054,80
N00001055,84
N00001056,76
N00001057,68
N00001058,80
N00001059,68
N00001060,72
N00001061,88
N00001062,80
N00001063,88
N00001064,88
N00001065,64
N00001066,88
N00001067,80
N00001068,68
N00001069,92
N00001070,72
N00001071,92
N00001072,72
N00001073,76
N00001074,72
N00001075,84
N00001076,72
N00001077,60
N00001078,76
N00001079,84
N00001080,84
N00001081,76
N00001082,80
N00001083,80
N00001084,88
N00001085,96
N00001086,76
N00001087,64
N00001088,88
N00001089,76
N00001090,84
N00001091,84
N00001092,76
N00001093,68
N00001094,88
N00001095,80
N00001096,60
N00001097,56
N00001098,80
N00001099,72
N00001100,80
N00001101,84
N00001102,68
N00001103,88
N00001104,72
N00001105,80
N00001106,76
N00001107,84
N00001108,88
N00001109,72
N00001110,88
N00001111,92
N00001112,84
N00001113,88
N00001114,80
N00001115,80
N00001116,80
N00001117,88
N00001118,68
N00001119,88
N00001120,84
N00001121,88
N00001122,72
N00001123,68
N00001124,80
N00001125,68
N00001126,76
N00001127,68
N00001128,88
N00001129,76
N00001130,84
N00001131,84
N00001132,84
N00001133,72
N00001134,88
N00001135,84
N00001136,76
N00001137,76
N00001138,84
N00001139,76
N00001140,72
N00001141,76
N00001142,72
N00001143,76
N00001144,84
N00001145,68
N00001146,84
N00001147,80
N00001148,76
N00001149,68
N00001150,84
N00001151,88
N00001152,80
N00001153,88
N00001154,80
N00001155,84
N00001156,92
N00001157,76
N00001158,80
N00001159,76
N00001160,80
N00001161,80
N00001162,84
N00001163,76
N00001164,60
N00001165,84
N00001166,88
N00001167,88
N00001168,88
N00001169,92
N00001170,64
N00001171,88
N00001172,88
N00001173,76
N00001174,76
N00001175,76
N00001176,72
N00001177,88
N00001178,84
N00001179,84
N00001180,76
N00001181,84
N00001182,80
N00001183,80
N00001184,64
N00001185,84
N00001186,92
N00001187,72
N00001188,76
N00001189,80
N00001190,84
N00001191,76
N00001192,92
N00001193,72
N00001194,76
N00001195,76
N00001196,72
N00001197,76
N00001198,76
N00001199,92
N00001200,80
N00001201,80
N00001202,80
N00001203,68
N00001204,52
N00001205,80
N00001206,68
N00001207,68
N00001208,72
N00001209,84
N00001210,80
N00001211,80
N00001212,84
N00001213,80
N00001214,76
N00001215,64
N00001216,80
N00001217,80
N00001218,88
N00001219,92
N00001220,76
N00001221,72
N00001222,72
N00001223,84
N00001224,80
N00001225,88
N00001226,76
N00001227,80
N00001228,68
N00001229,76
N00001230,76
N00001231,88
N00001232,76
N00001233,88
N00001234,80
N00001235,80
N00001236,88
N00001237,80
N00001238,84
N00001239,68
N00001240,68
N00001241,84
N00001242,72
