Student_ID,Score
N00001942,84
N00001943,84
N00001944,76
N00001945,76
N00001946,68
N00001947,80
N00001948,72
N00001950,80
N00001951,76
N00001952,80
N00001953,100
N00001954,72
N00001955,72
N00001956,76
N00001957,76
N00001958,84
N00001959,80
N00001960,80
N00001961,72
N00001962,56
N00001963,84
N00001964,64
N00001965,72
N00001967,72
N00001968,72
N00001969,84
N00001970,84
N00001971,64
N00001972,68
N00001973,76
N00001975,88
N00001976,72
N00001977,76
N00001978,76
N00001979,84
N00001981,76
N00001982,84
N00001983,84
N00001984,68
N00001985,84
N00001986,84
N00001987,80
N00001988,76
N00001989,72
N00001990,84
N00001991,76
N00001992,56
N00001993,72
N00001994,72
N00001995,76
N00001996,60
N00001997,92
N00001998,60
N00002000,80
N00002001,76
N00002002,76
N00002003,68
N00002004,80
N00002005,76
N00002006,84
N00002007,84
N00002008,84
N00002009,84
N00002010,88
N00002011,84
N00002012,80
N00002013,76
N00002014,72
N00002015,92
N00002016,68
N00002017,80
N00002018,76
N00002019,64
N00002020,72
N00002021,76
N00002022,92
N00002024,92
N00002025,84
N00002026,80
N00002027,88
N00002028,92
N00002029,72
N00002030,88
N00002031,80
N00002032,56
N00002033,72
N00002035,68
N00002036,76
N00002037,76
N00002038,88
N00002039,84
N00002040,72
N00002041,72
N00002042,80
N00002043,80
N00002044,80
N00002045,72
N00002046,64
N00002047,68
N00002048,88
N00002049,80
N00002050,76
N00002051,88
N00002052,88
N00002053,88
N00002054,92
N00002055,76
N00002056,88
N00002057,92
N00002058,84
N00002059,76
N00002060,76
N00002061,76
N00002062,84
N00002063,64
N00002064,84
N00002065,64
N00002066,76
N00002067,76
N00002068,68
N00002069,80
N00002070,76
N00002071,80
N00002072,80
N00002073,76
N00002074,80
N00002075,72
N00002076,92
N00002077,84
N00002078,88
N00002079,92
N00002080,80
N00002081,72
N00002082,84
N00002083,76
N00002084,76
N00002085,80
N00002086,76
N00002087,64
N00002088,68
N00002089,84
N00002090,80
N00002091,80
N00002092,84
N00002093,80
N00002094,76
N00002095,80
N00002096,72
N00002097,92
N00002098,68
N00002099,88
N00002100,72
N00002101,72
N00002102,84
N00002103,84
N00002104,68
N00002105,60
N00002106,92
N00002107,88
N00002108,96
N00002109,84
N00002110,76
N00002111,80
N00002112,84
N00002113,76
N00002114,88
N00002115,72
N00002116,80
N00002117,72
N00002118,76
N00002119,76
N00002120,76
N00002121,80
N00002122,80
N00002123,68
N00002124,76
N00002125,56
N00002126,72
N00002127,88
N00002128,92
N00002129,68
N00002130,64
N00002131,68
N00002132,76
N00002133,96
N00002134,88
N00002135,64
N00002136,80
N00002137,84
N00002138,64
N00002139,72
N00002140,76
N00002141,72
