Student_ID,Score
N00001641,80
N00001642,84
N00001643,84
N00001644,80
N00001645,84
N00001646,80
N00001647,68
N00001649,68
N00001650,88
N00001651,84
N00001652,76
N00001653,68
N00001654,68
N00001655,68
N00001656,80
N00001657,84
N00001658,76
N00001659,72
N00001660,92
N00001661,80
N00001662,80
N00001663,76
N00001664,76
N00001665,68
N00001666,60
N00001667,76
N00001668,76
N00001669,68
N00001670,76
N00001671,72
N00001672,76
N00001673,84
N00001674,76
N00001675,72
N00001676,84
N00001677,92
N00001678,88
N00001679,84
N00001680,76
N00001681,60
N00001682,80
N00001683,84
N00001684,88
N00001685,84
N00001686,84
N00001687,76
N00001688,84
N00001689,80
N00001690,80
N00001691,68
N00001692,76
N00001693,68
N00001694,80
N00001695,76
N00001696,76
N00001697,84
N00001698,72
N00001699,84
N00001700,92
N00001701,72
N00001702,88
N00001703,76
N00001704,64
N00001705,56
N00001706,84
N00001707,88
N00001708,84
N00001709,88
N00001710,72
N00001711,80
N00001712,64
N00001713,72
N00001714,72
N00001715,72
N00001716,80
N00001717,72
N00001718,88
N00001719,72
N00001720,80
N00001721,76
N00001722,76
N00001723,76
N00001724,68
N00001725,80
N00001726,76
N00001727,84
N00001728,84
N00001729,88
N00001730,72
N00001731,76
N00001732,80
N00001733,72
N00001734,76
N00001735,84
N00001736,92
N00001737,84
N00001738,80
N00001739,88
N00001740,84
N00001741,80
N00001742,84
N00001743,72
N00001744,80
N00001745,68
N00001746,84
N00001747,84
N00001748,72
N00001749,88
N00001750,68
N00001751,80
N00001752,76
N00001753,64
N00001754,96
N00001755,72
N00001756,88
N00001757,88
N00001758,72
N00001759,88
N00001760,76
N00001761,80
N00001762,76
N00001763,80
N00001764,84
N00001765,72
N00001766,80
N00001767,76
N00001768,76
N00001769,80
N00001770,76
N00001771,84
N00001772,76
N00001773,84
N00001774,56
N00001775,84
N00001776,64
N00001777,76
N00001778,68
N00001779,72
N00001780,84
N00001781,88
N00001782,80
N00001783,76
N00001784,84
N00001785,64
N00001786,80
N00001787,72
N00001788,68
N00001789,80
N00001790,84
N00001791,80
N00001792,88
N00001793,72
N00001794,80
N00001795,76
N00001796,68
N00001797,88
N00001798,76
N00001799,72
N00001800,76
N00001801,100
N00001802,72
N00001803,88
N00001804,76
N00001805,80
N00001806,80
N00001807,80
N00001808,80
N00001809,88
N00001810,80
N00001811,88
N00001812,68
N00001813,92
N00001814,76
N00001815,76
N00001816,76
N00001817,88
N00001818,72
N00001819,80
N00001820,84
N00001821,76
N00001822,80
N00001823,68
N00001824,84
N00001825,64
N00001826,84
N00001827,72
N00001828,80
N00001829,84
N00001830,76
N00001831,96
N00001832,88
N00001833,80
N00001834,56
N00001835,80
N00001836,72
N00001837,88
N00001838,76
N00001839,80
N00001840,64
N00001841,72
N00001842,72
N00001843,84
N00001844,72
N00001845,84
N00001846,84
N00001847,88
N00001848,72
N00001849,92
N00001850,84
N00001851,76
N00001852,84
N00001853,84
N00001854,84
N00001855,80
N00001856,80
N00001857,76
N00001858,88
N00001859,84
N00001860,76
N00001861,84
N00001862,100
N00001863,72
N00001864,88
N00001865,88
N00001866,92
N00001867,84
N00001868,68
N00001869,88
N00001870,76
N00001871,76
N00001872,76
N00001873,72
N00001874,84
N00001875,56
N00001876,88
N00001877,72
N00001878,68
N00001879,84
N00001880,76
N00001881,80
N00001882,68
N00001883,72
N00001884,76
N00001885,76
N00001886,68
N00001887,84
N00001888,76
N00001889,88
N00001890,72
N00001891,92
N00001892,76
N00001893,80
N00001894,72
N00001895,84
N00001896,88
N00001897,80
N00001898,80
N00001899,80
N00001900,84
N00001901,84
N00001902,76
N00001903,84
N00001904,80
N00001905,88
N00001906,76
N00001907,68
N00001908,80
N00001909,80
N00001910,84
N00001911,92
N00001912,72
N00001913,84
N00001914,72
N00001915,80
N00001916,88
N00001917,76
N00001918,68
N00001919,68
N00001920,68
N00001921,88
N00001922,80
N00001923,84
N00001924,88
N00001925,88
N00001926,68
N00001927,84
N00001928,68
N00001929,92
N00001930,64
N00001931,84
N00001932,80
N00001933,64
N00001934,88
N00001935,84
N00001936,72
N00001937,80
N00001938,84
N00001939,80
N00001940,76
N00001941,80
