Student_ID,Score
N00002142,88
N00002143,64
N00002144,88
N00002145,88
N00002146,72
N00002147,88
N00002148,76
N00002149,76
N00002150,84
N00002151,76
N00002152,76
N00002153,84
N00002154,76
N00002155,84
N00002156,72
N00002157,76
N00002158,76
N00002159,80
N00002160,72
N00002161,80
N00002162,80
N00002163,76
N00002164,72
N00002165,92
N00002166,84
N00002167,76
N00002168,64
N00002169,76
N00002170,72
N00002171,84
N00002172,84
N00002173,72
N00002174,92
N00002175,84
N00002176,84
N00002177,92
N00002178,80
N00002179,80
N00002180,84
N00002181,88
N00002182,68
N00002183,88
N00002184,80
N00002185,68
N00002186,80
N00002187,80
N00002188,76
N00002189,80
N00002190,76
